Strategy,Horizon,Total Return,Annualized Return,Annualized Vol,Sharpe Ratio,Max Drawdown,Alpha,Beta,Correlation,Bear Market Ann Return,Bull Market Ann Return,Bear Market Days,Bull Market Days
1. SPY Buy & Hold (h=2),2,0.9770280113947523,0.12529969253463302,0.21049524161877822,0.5952614014979001,-0.3574588484328301,0.0,1.0,1.0,-0.44171362696025285,0.5495965664550393,456,999
2. SPY SMA(50) Trend (h=2),2,0.7652520253917103,0.10343284187117807,0.1157162464752377,0.8938489194195547,-0.21239830151558872,0.06279537845303383,0.3018751323124009,0.549130142485197,-0.31948146859781645,0.37581117254534524,456,999
3. SPY Trend + VIX Sizing (h=2),2,1.09062086314017,0.13624074236555694,0.15052258366930235,0.9051182822165572,-0.2709404283496229,0.08426654331033118,0.39095661344902266,0.5467253139317092,-0.382057287441104,0.5004212205152456,456,999
4. SPY Trend + Pred Sizing (h=2),2,1.038615213089293,0.13129428075523264,0.15283045033279072,0.8590845637720577,-0.269985940874266,0.07945865036052693,0.3967242353545364,0.5464131237926537,-0.38446324435253265,0.4935745083140184,456,999
5. VRP Unconditional (h=2),2,10.132527114552458,0.5179788607601381,0.27868858758552234,1.8586296096577106,-0.9635844811716716,0.4340307483609912,0.17571252446888286,0.13271677399481865,-0.7472781830280455,2.440909210935115,456,999
6. VRP VIX-Based (h=2),2,0.7240740373506438,0.0989312120033663,0.0811430595496055,1.2192196418584178,-0.5817122931124362,0.09724631886234895,0.003093653705537223,0.00802532450521891,-0.027104820607334768,0.16176714238015055,456,999
7. VRP Residual-Based (h=2),2,2.4459592083469173,0.23896745680297649,0.054468872774248445,4.387229708119726,-0.27716565152774464,0.21448146472965082,0.009747485685919594,0.0376692090386579,0.03186979675071777,0.34684778728613685,456,999
1. SPY Buy & Hold (h=5),5,0.9770280113947523,0.12529969253463302,0.21049524161877822,0.5952614014979001,-0.3574588484328301,0.0,1.0,1.0,-0.44171362696025285,0.5495965664550393,456,999
2. SPY SMA(50) Trend (h=5),5,0.7652520253917103,0.10343284187117807,0.1157162464752377,0.8938489194195547,-0.21239830151558872,0.06279537845303383,0.3018751323124009,0.549130142485197,-0.31948146859781645,0.37581117254534524,456,999
3. SPY Trend + VIX Sizing (h=5),5,1.09062086314017,0.13624074236555694,0.15052258366930235,0.9051182822165572,-0.2709404283496229,0.08426654331033118,0.39095661344902266,0.5467253139317092,-0.382057287441104,0.5004212205152456,456,999
4. SPY Trend + Pred Sizing (h=5),5,1.0378710112276415,0.13122274318573113,0.15223941753410186,0.8619498505131697,-0.2702873940957897,0.07952097899655847,0.3951685945961892,0.5463835197677709,-0.3831229206909499,0.4919549335714266,456,999
5. VRP Unconditional (h=5),5,10.132527114552458,0.5179788607601381,0.27868858758552234,1.8586296096577106,-0.9635844811716716,0.4340307483609912,0.17571252446888286,0.13271677399481865,-0.7472781830280455,2.440909210935115,456,999
6. VRP VIX-Based (h=5),5,0.7240740373506438,0.0989312120033663,0.0811430595496055,1.2192196418584178,-0.5817122931124362,0.09724631886234895,0.003093653705537223,0.00802532450521891,-0.027104820607334768,0.16176714238015055,456,999
7. VRP Residual-Based (h=5),5,3.8773565690894802,0.3158025347784028,0.053193455265158736,5.936868233210088,-0.2771656515277444,0.2739003896781273,0.01500895909347283,0.05939291694962043,0.14145784203558187,0.4040034027090651,456,999
1. SPY Buy & Hold (h=10),10,0.9770280113947523,0.12529969253463302,0.21049524161877822,0.5952614014979001,-0.3574588484328301,0.0,1.0,1.0,-0.44171362696025285,0.5495965664550393,456,999
2. SPY SMA(50) Trend (h=10),10,0.7652520253917103,0.10343284187117807,0.1157162464752377,0.8938489194195547,-0.21239830151558872,0.06279537845303383,0.3018751323124009,0.549130142485197,-0.31948146859781645,0.37581117254534524,456,999
3. SPY Trend + VIX Sizing (h=10),10,1.09062086314017,0.13624074236555694,0.15052258366930235,0.9051182822165572,-0.2709404283496229,0.08426654331033118,0.39095661344902266,0.5467253139317092,-0.382057287441104,0.5004212205152456,456,999
4. SPY Trend + Pred Sizing (h=10),10,1.036286200157992,0.13107032873443236,0.15225983227755144,0.8608332662255063,-0.27022994937733924,0.07938599059122559,0.39519625776466716,0.5463485051879656,-0.38299471122061646,0.4915206794908624,456,999
5. VRP Unconditional (h=10),10,10.132527114552458,0.5179788607601381,0.27868858758552234,1.8586296096577106,-0.9635844811716716,0.4340307483609912,0.17571252446888286,0.13271677399481865,-0.7472781830280455,2.440909210935115,456,999
6. VRP VIX-Based (h=10),10,0.7240740373506438,0.0989312120033663,0.0811430595496055,1.2192196418584178,-0.5817122931124362,0.09724631886234895,0.003093653705537223,0.00802532450521891,-0.027104820607334768,0.16176714238015055,456,999
7. VRP Residual-Based (h=10),10,2.6002303330885295,0.24840101043115936,0.05133974003170234,4.838376865129654,-0.2771656515277442,0.2214997967789374,0.01264989369736397,0.05186513271462307,0.11287536649076824,0.315632973429415,456,999
1. SPY Buy & Hold (h=30),30,0.9770280113947523,0.12529969253463302,0.21049524161877822,0.5952614014979001,-0.3574588484328301,0.0,1.0,1.0,-0.44171362696025285,0.5495965664550393,456,999
2. SPY SMA(50) Trend (h=30),30,0.7652520253917103,0.10343284187117807,0.1157162464752377,0.8938489194195547,-0.21239830151558872,0.06279537845303383,0.3018751323124009,0.549130142485197,-0.31948146859781645,0.37581117254534524,456,999
3. SPY Trend + VIX Sizing (h=30),30,1.09062086314017,0.13624074236555694,0.15052258366930235,0.9051182822165572,-0.2709404283496229,0.08426654331033118,0.39095661344902266,0.5467253139317092,-0.382057287441104,0.5004212205152456,456,999
4. SPY Trend + Pred Sizing (h=30),30,1.0477770778706512,0.1321732149016841,0.15246141255493126,0.8669289670529755,-0.2713111042668159,0.0803201110912744,0.3957045444803749,0.5463279022817307,-0.38467838472820737,0.4955034937336371,456,999
5. VRP Unconditional (h=30),30,10.132527114552458,0.5179788607601381,0.27868858758552234,1.8586296096577106,-0.9635844811716716,0.4340307483609912,0.17571252446888286,0.13271677399481865,-0.7472781830280455,2.440909210935115,456,999
6. VRP VIX-Based (h=30),30,0.7240740373506438,0.0989312120033663,0.0811430595496055,1.2192196418584178,-0.5817122931124362,0.09724631886234895,0.003093653705537223,0.00802532450521891,-0.027104820607334768,0.16176714238015055,456,999
7. VRP Residual-Based (h=30),30,2.7011980971584646,0.2543956748971563,0.051232465704669695,4.965516911944546,-0.2771656515277441,0.2262275782586402,0.013088159642111175,0.0537744043414296,0.11317709429338585,0.32468029200265436,456,999
